iter	Passed	Remaining
0	299	299495
1	403	201261
2	482	160358
3	581	144745
4	679	135282
5	776	128590
6	877	124537
7	981	121746
8	1095	120653
9	1243	123063
10	1362	122502
11	1504	123844
12	1616	122698
13	1714	120779
14	1811	118924
15	1917	117910
16	2015	116515
17	2108	115044
18	2207	113964
19	2304	112934
20	2394	111641
21	2492	110808
22	2592	110105
23	2680	108996
24	2778	108357
25	2875	107731
26	2959	106637
27	3056	106105
28	3150	105492
29	3246	104958
30	3336	104294
31	3431	103805
32	3532	103510
33	3627	103064
34	3722	102628
35	3807	101961
36	3897	101430
37	3993	101093
38	4085	100672
39	4177	100254
40	4270	99882
41	4362	99500
42	4476	99638
43	4589	99723
44	4697	99685
45	4795	99446
46	4884	99034
47	4971	98608
48	5066	98326
49	5159	98033
50	5247	97635
51	5347	97486
52	5442	97243
53	5536	96996
54	5628	96707
55	5712	96291
56	5825	96384
57	5917	96106
58	6004	95760
59	6086	95354
60	6178	95113
61	6275	94934
62	6364	94657
63	6443	94239
64	6536	94024
65	6620	93687
66	6712	93468
67	6805	93275
68	6903	93144
69	6999	92990
70	7089	92768
71	7184	92599
72	7278	92431
73	7363	92147
74	7459	92005
75	7541	91690
76	7626	91413
77	7724	91305
78	7818	91149
79	7901	90862
80	7989	90642
81	8074	90392
82	8166	90222
83	8258	90061
84	8352	89908
85	8437	89677
86	8526	89475
87	8615	89291
88	8686	88911
89	8775	88726
90	8867	88578
91	8955	88385
92	9046	88224
93	9149	88183
94	9242	88042
95	9332	87876
96	9416	87664
97	9517	87599
98	9611	87478
99	9707	87368
100	9796	87200
101	9886	87044
102	9991	87014
103	10095	86977
104	10182	86795
105	10270	86621
106	10361	86471
107	10450	86315
108	10540	86161
109	10626	85977
110	10715	85823
111	10809	85701
112	10902	85576
113	10991	85423
114	11099	85416
115	11205	85396
116	11322	85451
117	11427	85418
118	11547	85491
119	11652	85454
120	11760	85435
121	11859	85351
122	11950	85209
123	12043	85078
124	12138	84966
125	12223	84785
126	12290	84485
127	12379	84332
128	12465	84164
129	12553	84010
130	12644	83880
131	12737	83756
132	12799	83436
133	12860	83114
134	12950	82981
135	13033	82800
136	13130	82709
137	13214	82541
138	13292	82336
139	13373	82153
140	13468	82053
141	13547	81855
142	13639	81741
143	13715	81532
144	13800	81373
145	13885	81219
146	13980	81122
147	14063	80962
148	14129	80696
149	14218	80569
150	14304	80426
151	14386	80259
152	14472	80117
153	14565	80014
154	14653	79883
155	14744	79772
156	14841	79690
157	14934	79585
158	15026	79482
159	15121	79387
160	15203	79230
161	15293	79111
162	15383	78996
163	15464	78831
164	15551	78699
165	15619	78474
166	15693	78279
167	15784	78169
168	15865	78014
169	15959	77922
170	16046	77793
171	16124	77622
172	16210	77492
173	16296	77362
174	16390	77269
175	16454	77036
176	16523	76827
177	16611	76711
178	16685	76527
179	16761	76356
180	16841	76203
181	16920	76047
182	17007	75927
183	17097	75821
184	17195	75755
185	17288	75660
186	17368	75510
187	17471	75463
188	17537	75253
189	17613	75090
190	17708	75006
191	17789	74866
192	17857	74670
193	17926	74480
194	17995	74289
195	18065	74106
196	18134	73918
197	18209	73757
198	18278	73574
199	18349	73396
200	18416	73207
201	18474	72984
202	18543	72805
203	18611	72621
204	18664	72383
205	18735	72213
206	18809	72058
207	18879	71887
208	18945	71701
209	18996	71461
210	19066	71297
211	19139	71142
212	19193	70917
213	19259	70736
214	19324	70556
215	19389	70374
216	19446	70166
217	19503	69960
218	19561	69759
219	19611	69533
220	19682	69377
221	19741	69185
222	19804	69004
223	19876	68859
224	19954	68732
225	20026	68584
226	20097	68438
227	20173	68305
228	20240	68144
229	20314	68008
230	20389	67876
231	20455	67713
232	20527	67574
233	20606	67456
234	20677	67310
235	20747	67164
236	20821	67034
237	20887	66873
238	20956	66726
239	21025	66579
240	21100	66452
241	21172	66317
242	21244	66180
243	21311	66031
244	21379	65883
245	21454	65759
246	21519	65604
247	21588	65460
248	21682	65394
249	21751	65255
250	21821	65116
251	21910	65036
252	21979	64895
253	22046	64752
254	22125	64640
255	22191	64494
256	22265	64370
257	22334	64233
258	22399	64085
259	22462	63931
260	22539	63818
261	22606	63678
262	22678	63550
263	22750	63425
264	22819	63291
265	22896	63181
266	22960	63035
267	23020	62876
268	23102	62781
269	23186	62688
270	23270	62598
271	23361	62526
272	23441	62425
273	23513	62301
274	23586	62181
275	23665	62079
276	23733	61946
277	23806	61827
278	23888	61732
279	23970	61637
280	24047	61530
281	24124	61423
282	24206	61330
283	24284	61224
284	24366	61129
285	24427	60984
286	24498	60862
287	24573	60750
